Athlete Name,Contingent,Home Town,Type Name,Sports Name
Marat Sargsyan,Quebec,Montreal,Athlete,Squash
Cyrus Sarmad,Quebec,Paris,Athlete,Squash
Alexandra Sarmiento Diaz,Alberta,Edmonton,Athlete,Figure Skating
Mahika Sarrazin,Quebec,Gatineau,Athlete,Hockey
Pierrick Sarthou,Quebec,Longueuil,Athlete,Cross Country Skiing
Victoria Marie Sarty,Saskatchewan,Regina,Athlete,Figure Skating
Hayato Sato,British Columbia,Coquitlam,Athlete,Curling
Matt Sauer,Manitoba,winnipeg,Athlete,Alpine Skiing
Mélodie Saulnier,New Brunswick,Dieppe,Athlete,Ringette
Ann Sauve,Alberta,Strathmore,Athlete,Ringette
Jésika Savoie,New Brunswick,"Dieppe, New-Brunswick",Athlete,Ringette
Mahée Savoie,New Brunswick,"Moncton, NB",Athlete,Judo
Matt Savoie,Alberta,St. Albert,Athlete,Hockey
Hannah Scharf,Ontario,Barrie,Athlete,Gymnastics
Claire Scheffel,Ontario,"Brantford, Ontario",Athlete,Artistic Swimming
Chantel Scherr,Saskatchewan,Saskatoon,Athlete,Wheelchair Basketball
Donovan Schiele,Saskatchewan,Northbattleford,Athlete,Snowboard
Tate Schiele,Saskatchewan,,Athlete,Snowboard
Rebecca Schindel,Saskatchewan,"Saskatoon, Sk",Athlete,Figure Skating
Erik Schlyter,Ontario,Thunder Bay,Athlete,Cross Country Skiing
Roman Schmidt,Ontario,"Toronto, Ontario",Athlete,Hockey
Sonjaa Schmidt,Yukon,,Athlete,Cross Country Skiing
Ashlyn Schmitz,Saskatchewan,Shellbrook sk,Athlete,Figure Skating
Marek Schneider,Saskatchewan,"Prince Albert, Saskatchewan",Athlete,Hockey
Samuel Schofield,Northwest Territories,Yellowknife,Athlete,Hockey
Summer Schofield,Saskatchewan,"Saskatoon, SK",Athlete,Squash
Joshua Schramm,Saskatchewan,Regina,Athlete,Alpine Skiing
Brooklyn Schroeder,Alberta,Whitecourt,Athlete,Hockey
Finn Schroeder,British Columbia,Whistler,Athlete,Judo
Joey Schultz,Yukon,Whitehorse,Athlete,Hockey
Mitchell Schut,Prince Edward Island,"Cornwall, Prince Edward Island",Athlete,Curling
Kyle Schwantz,Yukon,Whitehorse,Athlete,Hockey
Mackenzie Schwinghamer,Alberta,West Kelowna,Athlete,Freestyle Skiing
Tiah Scichilone,New Brunswick,Saint John,Athlete,Hockey
Sam Scivier,British Columbia,"Vancouver, BC",Athlete,Squash
Alexa Scott,Manitoba,Clandeboye,Athlete,Speed Skating
Jordyn Scott,Alberta,"St. Albert, Alberta",Athlete,Ringette
Matthew Scutchings,Saskatchewan,Saskatoon,Athlete,Speed Skating
Andrei Secu,British Columbia,Coquitlam,Athlete,Biathlon
AJ Seddon,Manitoba,Beausejour,Athlete,Speed Skating
Matthew Seminoff,British Columbia,"Coquitlam, BC",Athlete,Hockey
Kathy Senior,Newfoundland and Labrador,Red Harbour,Athlete,Hockey
Ghajaa Senthilkumaran,Manitoba,Toronto,Athlete,Badminton
Emma Septon,New Brunswick,Miramichi,Athlete,Biathlon
Danielle Serdachny,Alberta,Edmonton,Athlete,Hockey
Leesha Setzer,Northwest Territories,Inuvik,Athlete,Hockey
Lily Sewell,Ontario,Toronto,Athlete,Alpine Skiing
Ruby Sha,Saskatchewan,Regina,Athlete,Table Tennis
Macy Shaddick,Prince Edward Island,,Athlete,Archery
Natalie Shafer,Northwest Territories,,Athlete,Gymnastics
Iman Shaheen,Quebec,,Athlete,Squash
Jalen Shannon,Alberta,Calgary,Athlete,Wheelchair Basketball
Adi Shapira,British Columbia,Kerrisdale,Athlete,Archery
Krish Sharma,Yukon,,Athlete,Table Tennis
Raghvi Sharma,Yukon,,Athlete,Table Tennis
Caelan Shaw,Nova Scotia,"Truro, Nova Scotia",Athlete,Freestyle Skiing
Katie Shaw,Prince Edward Island,Stratford,Athlete,Curling
Nicholas Alexandre Sheehan,New Brunswick,Moncton,Athlete,Hockey
Lareina Shen,Nova Scotia,,Athlete,Badminton
Torrie Shennan,Alberta,Edmonton,Athlete,Ringette
Dylan Sheppard,Prince Edward Island,Stratford,Athlete,Judo
Hailey Sherman,Yukon,Whitehorse,Athlete,Gymnastics
Jenna Sherrington,Alberta,Calgary,Athlete,Biathlon
Stas Sheshnev,Saskatchewan,,Athlete,Judo
Kryztle Cori Shewchuk,Saskatchewan,Prince Albert,Athlete,Cross Country Skiing
Ann Shiao,Ontario,Ottawa,Athlete,Table Tennis
Audrey Shieh,British Columbia,Georgetown,Athlete,Snowboard
Alyssa Shimabukuro,Ontario,Mississauga,Athlete,Judo
Grace Shirley,Saskatchewan,Saskatoon,Athlete,Hockey
Conor Shortall,Newfoundland and Labrador,St. John's,Athlete,Hockey
Matthias Shorter,British Columbia,Whistler,Athlete,Alpine Skiing
S. Marshall Shupe II,British Columbia,Maple Ridge,Athlete,Speed Skating
Kelsa Sibley,Nova Scotia,Hilden,Athlete,Table Tennis
Cole Sillinger,Saskatchewan,Regina Sask,Athlete,Hockey
Drew Sim,Alberta,"Tees, AB",Athlete,Hockey
Mathilde Simard-Lejeune,Quebec,Val d'Or,Athlete,Judo
Evgeny Siminiuc,Ontario,Milton,Athlete,Gymnastics
Emma Simpson,Nova Scotia,Halifax,Athlete,Ringette
Heidi Catherine Simpson,Newfoundland and Labrador,Glovertown,Athlete,Badminton
Ian Simpson,Newfoundland and Labrador,,Athlete,Judo
Joel Simpson,Manitoba,Portage La Prairie,Athlete,Speed Skating
Nadia Simpson,Newfoundland and Labrador,St' John's,Athlete,Gymnastics
Brayden Sims,British Columbia,Fort St. John,Athlete,Boxing
Emalia Sinclair,Manitoba,"Warren, Manitoba",Athlete,Badminton
Sam Skaar,Saskatchewan,Regina,Athlete,Ringette
Hannah Skelton,Ontario,Stayner,Athlete,Biathlon
Joshua Skinner,Newfoundland and Labrador,Corner Brook,Athlete,Gymnastics
Megan Skinner,Newfoundland and Labrador,St. John's,Athlete,Gymnastics
Sam Skinner,Northwest Territories,Inuvik,Athlete,Hockey
Sophie Skinner,New Brunswick,Fredericton,Athlete,Badminton
Katie Slaney,Newfoundland and Labrador,"Paardise, NL",Athlete,Figure Skating
Keagan Slaney,Alberta,"Airdrie, Alberta",Athlete,Hockey
Kai Smart,British Columbia,Whistler,Athlete,Freestyle Skiing
Dawson Smith,Yukon,Whitehorse,Athlete,Hockey
Grace Smith,Newfoundland and Labrador,Conception Bay South,Athlete,Hockey
Jamie Smith,Ontario,Sudbury,Athlete,Curling
Josh Smith,Prince Edward Island,,Athlete,Hockey
lindsey smith,Nova Scotia,Truro,Athlete,Hockey
Lucas Smith,Manitoba,Winnipeg,Athlete,Biathlon
Mallory Smith,New Brunswick,Saint John,Athlete,Wheelchair Basketball
Matt Smith,Alberta,Born in Edmonton,Athlete,Hockey
Meaghan Smith,Manitoba,Winnipeg,Athlete,Biathlon
Megan Smith,British Columbia,Vancouver,Athlete,Wheelchair Basketball
Truth Smith,British Columbia,Whistler,Athlete,Snowboard
Victoria Katherine Smith,Nova Scotia,,Athlete,Artistic Swimming
Shailynn Snow,Newfoundland and Labrador,Bay Roberts,Athlete,Hockey
Britney Snowdon,New Brunswick,Moncton,Athlete,Ringette
Kalena Soehn,Alberta,Red Deer Alberta,Athlete,Gymnastics
Chaitanya Sohani,Saskatchewan,,Athlete,Badminton
Prasanna Sohani,Saskatchewan,,Athlete,Badminton
William Sohier,Quebec,Québec,Athlete,Speed Skating
Heming Sola,British Columbia,Summerland,Athlete,Alpine Skiing
Dahlia Solorzano-Caruso,Ontario,"Courtice, Ontario",Athlete,Gymnastics
Kyara Somers,Prince Edward Island,Murray River,Athlete,Hockey
Shane Sommer,Nova Scotia,Port Williams,Athlete,Alpine Skiing
Hee-Won Son,Alberta,Calgary,Athlete,Speed Skating
