,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
444,YT,"Ecko Deelia Kirk, Orlina Ménard, Rachel Dawn Kormendy, Piper Fordham, Isabelle Oestreich, Maddie Nicholson, Georgia Musil, Zoë Leas, Cayman Oestreich, Haley McConnell, Joy Morin, Anna A S Lund, Alix Walchuk, Wynne Anderson-Lindsay, Arnica Bulmer, Emma Curtis, Jaden Ezzard, Samantha McLeod, Jordan Macdonald, Cassie Cebuliak","Game 01, Game 14, 11th - 12th Position Game, Game 08, Game 27",Hockey Female,Yukon,12
445,YT,"Max Zimmermann, Joey Schultz, Hugo Burgess, Kyle Schwantz, Ty Beacon, Jonny Timmons, Austin Larkin, Connor Cooper, Ashton Underhill, Eric Potvin, Zion David Quaile, Landon Marsh, Maximus Wolsynuk, Dawson Smith, Connor Shawn Cozens, Ryder Twardochleb, Sawyer Adams, Owen Palfreyman, Kyron Crosby, Cole Cowan","Game 02, Game 14, Game 07, Game 15",Hockey Male,Yukon,13
446,YT,,Race,Biathlon 3 x 7.5 km Relay Male,Yukon,6
447,YT,,"Encounter 1D, Encounter 206, Encounter 204, Encounter 209",Table Tennis Doubles Mix,Yukon,9
448,YT,"Vincent Ménard, Sofija Jewell","Total of Round 1 and Round 2, Round 2, Elimination 102, Round 1, Elimination 003, Elimination 201 - Bronze Medal",Archery Compound - Team Mix,Yukon,4
449,YT,,,Biathlon 3 x 6 km Relay Female,Yukon,
450,YT,,"Encounter 1D, Encounter 202, Encounter 2D, Encounter 207",Table Tennis Doubles Male,Yukon,12
451,YT,,,Judo Team Competition Female,Yukon,
452,YT,,,Speed Skating Short Track - Team Relay Male,Yukon,
453,YT,,"Encounter 3D, Encounter 203",Table Tennis Doubles Female,Yukon,11
454,YT,"Mackenzie Cameron, Ivan Johnson, Rannon Johnson, Isaac Maddocks","Encounter 001, Encounter 018, Encounter 026, Encounter 204, Encounter 008, Encounter 020, Encounter 106",Squash Team Competition Male,Yukon,12
455,YT,,"Match 01, Match 08",Judo Team Competition Male,Yukon,9
456,YT,,,Gymnastics Artistic - Team Event Male,Yukon,
457,YT,"Austin Meng Au, Gabrielle Bélanger, Carl Knickle, Lukas Sebastian Kobler, Lily Kremer, Shayla Kremer, Tristan Kremer, Anton Menzel","Tie 04, Tie 15, Team Competition - 9th-12th (1), Tie 10, Team Competition - 13th, Team Competition - 11th",Badminton Team Competition Mix,Yukon,11
458,YT,"Seth Bennett, Krish Sharma, Jake Tucker","Encounter 1D, Encounter 201, Encounter 2D, Encounter 208",Table Tennis Team Male,Yukon,12
459,YT,"Wyatt Kapaniuk, Emma Tom Tom","Total of Round 1 and Round 2, Round 2, Round 1",Archery Recurve - Team Mix,Yukon,9
460,YT,,,Speed Skating Short Track - Team Relay Female,Yukon,
461,YT,"Kass Dreyer, Ming Huang, Raghvi Sharma","Encounter 3D, Encounter 201",Table Tennis Team Female,Yukon,11
462,YT,,,Gymnastics Artistic - Team Event Female,Yukon,
463,YT-A,"Derek Bond Deuling, Marcus Deuling, Natalie Hynes, Amanda Thomson",Race,Cross Country Skiing Relay Mix,Yukon,4
464,YT-B,"Hannah Deuling, Sasha Masson, Jamie Phillips-Freedman, Sonjaa Schmidt",Race,Cross Country Skiing Relay Mix,Yukon,8
465,Zheng/Zhu,"Alex Zheng, Katherine Zhu",MATCH 83,Badminton Doubles Mix,Prince Edward Island,33
